;"FromIP";"ToIP";"RTT";"Distance";"CountryFrom";"CountryFromNo";"CountryTo";"CountryToNo";"ConnectionNo"
"1";"195.116.60.98";"155.223.52.3";NA;2270.982;"Poland";10;"Turkey";12;1012
"2";"195.116.60.98";"129.10.120.194";0.12105375289916;6560.0104;"Poland";10;"UnitedStates";13;1013
"3";"195.116.60.98";"202.112.28.100";0.55887355804448;6945.5339;"Poland";10;"China";4;1004
"4";"195.116.60.98";"139.19.142.3";0.0453514158725708;839.8727;"Poland";10;"Germany";6;1006
"5";"195.116.60.98";"128.223.8.111";0.2101918125152;8778.0024;"Poland";10;"UnitedStates";13;1013
"6";"195.116.60.98";"130.83.244.179";0.025774049758908;902.4873;"Poland";10;"Germany";6;1006
"7";"195.116.60.98";"134.75.238.112";0.60516550064092;7826.5218;"Poland";10;"KoreaRepublicOf";8;1008
"8";"195.116.60.98";"193.55.112.41";0.04972625732422;1368.4283;"Poland";10;"France";5;1005
"9";"195.116.60.98";"198.248.245.102";0.28852387428296;8155.395;"Poland";10;"UnitedStates";13;1013
"10";"195.116.60.98";"194.29.150.131";0.011530952453608;0;"Poland";10;"Poland";10;1010
"11";"195.116.60.98";"198.248.246.19";0.28309656143188;8155.395;"Poland";10;"UnitedStates";13;1013
"12";"195.116.60.98";"198.248.244.101";0.29602914810176;8155.395;"Poland";10;"UnitedStates";13;1013
"13";"195.116.60.98";"131.246.112.38";0.040623311996456;980.3429;"Poland";10;"Germany";6;1006
"14";"195.116.60.98";"192.138.213.238";0.1159068965912;6557.5547;"Poland";10;"UnitedStates";13;1013
"15";"195.116.60.98";"129.107.35.131";0.16083107948296;8838.3885;"Poland";10;"UnitedStates";13;1013
"16";"195.116.60.98";"141.24.33.162";0.035047330856324;721.1483;"Poland";10;"Germany";6;1006
"17";"195.116.60.98";"128.112.139.18";0.125151796341;6925.351;"Poland";10;"UnitedStates";13;1013
"18";"195.116.60.98";"203.178.133.10";0.299325119365227;8473.5895;"Poland";10;"Japan";7;1007
"19";"195.116.60.98";"143.107.111.235";0.26219633102412;10670.2077;"Poland";10;"Brazil";2;1002
"20";"195.116.60.98";"200.0.206.202";0.2981357383728;12233.9189;"Poland";10;"Uruguay";14;1014
"21";"195.116.60.98";"198.133.224.149";0.17275734901432;7504.5475;"Poland";10;"UnitedStates";13;1013
"22";"195.116.60.98";"145.99.179.146";0.0448778371016208;1112.8335;"Poland";10;"Netherlands";9;1009
"23";"195.116.60.98";"192.43.193.71";0.03837712287902;1090.6489;"Poland";10;"Switzerland";11;1011
"24";"195.116.60.98";"202.249.37.67";0.29719186782836;8473.5895;"Poland";10;"Japan";7;1007
"25";"195.116.60.98";"206.117.37.6";0.20068337440492;9648.4397;"Poland";10;"UnitedStates";13;1013
"26";"195.116.60.98";"202.244.160.251";0.330776355483364;8382.4411;"Poland";10;"Japan";7;1007
"27";"195.116.60.98";"130.49.221.41";0.14174817085252;7228.0797;"Poland";10;"UnitedStates";13;1013
"28";"195.116.60.98";"132.239.17.224";0.20147464672725;9726.7649;"Poland";10;"UnitedStates";13;1013
"29";"195.116.60.98";"206.12.16.155";0.20725037574764;8240.9089;"Poland";10;"Canada";3;1003
"30";"195.116.60.98";"128.8.126.78";0.12172461509704;7166.7978;"Poland";10;"UnitedStates";13;1013
"31";"195.116.60.98";"148.81.140.194";0.024925117492672;0;"Poland";10;"Poland";10;1010
"32";"195.116.60.98";"132.227.62.20";0.038412332534784;1368.4283;"Poland";10;"France";5;1005
"33";"195.116.60.98";"122.1.115.91";0.31041640281676;8473.5895;"Poland";10;"Japan";7;1007
"34";"195.116.60.98";"129.187.143.120";0.043707332611084;799.8065;"Poland";10;"Germany";6;1006
"35";"195.116.60.98";"128.4.36.46";0.12443020820608;7045.9071;"Poland";10;"UnitedStates";13;1013
"36";"195.116.60.98";"130.104.72.201";0.0457672874132583;1135.6481;"Poland";10;"Belgium";1;1001
"37";"195.116.60.98";"72.36.112.79";0.14169140815728;7701.8479;"Poland";10;"UnitedStates";13;1013
