;"X194.167.254.19";"X129.13.214.130";"X193.196.39.10";"X208.94.63.194";"X143.225.229.238";"X198.175.112.107";"X122.1.115.91";"X192.26.179.69";"X164.73.47.244";"X150.140.140.93";"X129.22.150.78";"X193.167.187.187";"X143.89.49.74";"X130.104.72.201";"X134.76.81.91";"X147.83.30.167";"X198.248.244.101";"X165.230.49.115";"X72.36.112.74";"X130.83.244.180";"X206.117.37.6";"X198.248.246.19";"X88.255.65.220";"X200.159.255.80";"X198.133.224.149";"X149.43.80.20";"X193.174.155.36";"X143.215.131.198";"X198.7.242.41";"X202.249.37.67";"X145.99.179.146";"X140.192.249.203";"X193.55.112.41";"X169.229.50.8";"X128.220.231.5";"X129.93.229.139";"X128.83.122.162";"X141.24.249.129";"X194.29.150.131";"X141.219.252.133";"X129.82.12.187";"X148.81.140.194";"X206.12.16.155";"X132.227.62.19";"X162.105.205.22";"X203.30.39.242";"X192.43.193.71";"X132.187.230.1";"X159.217.144.112";"X160.78.253.31";"X138.238.250.155";"X155.223.52.3";"X143.107.111.234";"X195.116.53.12";"X128.114.63.63";"X202.189.126.85";"X128.4.36.51";"X129.10.120.194";"X131.246.112.7";"X129.187.143.140";"X213.73.40.106";"X129.242.19.196";"X128.208.4.198";"X130.149.49.136";"X134.121.64.7";"X157.92.44.102";"X192.42.83.250";"X128.208.1.232";"X133.11.240.56";"X132.239.17.226";"X203.178.133.11";"X129.110.125.52";"X149.169.227.131";"X129.107.35.131";"X131.114.53.187";"X140.112.107.82";"X72.36.112.78";"X202.112.28.100";"X129.13.214.60";"X128.223.8.111";"X193.174.155.27";"X129.187.143.40";"X202.244.160.251";"X128.208.1.217";"X203.178.133.10";"X132.187.230.2";"X132.227.62.20";"X198.248.246.146";"X210.123.39.102";"X128.112.139.18";"X131.246.112.30";"X130.49.221.41";"X129.21.30.116";"X202.112.28.98";"X155.98.35.8";"X198.248.241.102";"X192.33.90.66";"X204.123.28.55";"X198.248.245.102";"X131.247.2.245";"X128.151.65.101";"X128.4.36.46";"X200.19.159.34";"X192.138.213.236";"X203.159.255.1";"X169.226.40.2";"X129.105.15.38"
"X194.167.254.19";NA;0.0270027955373;0.038046836853;0.199740314484;NA;0.180963548024;NA;0.031668138504;0;0.0796363194784;0.134994411469;0.0594729582469;NA;0.0325316111247;0.0440477689107;0.0399052143097;0.291179482142;NA;0.141724443436;0.0258048534393;0.210171572367;NA;0.15928875483;0.253790871302;0.13978471756;0.127673991521;NA;0.13073442777;0.117447137833;0.302546548843;0.0526561339696;NA;0.0202646573385;0.198379294078;0.121995862325;0.163663991292;0.159288438161;0.0324304103851;0.0438927014669;0.159666617711;0.161365095774;0.0416443506877;0.174263970057;0.0119255860647;NA;NA;0.0194820721944;0.0441857973735;0.0187749703725;0.0293848832448;0.1055560112;0;0.245919307073;0.043588813146;0.200446160634;0.330697933833;0.112835518519;0.125444014867;0.0287287553151;0.0336366210665;0.0536868731181;0.0684091363634;0.187317403158;0.0475857575734;0.212568346659;0.285232575734;NA;0.187044906616;0.309441407522;0.20196762085;0.311276006699;0.166760190328;NA;0.163134256999;0.0486585776011;0.334460481008;0.137444400787;0.239969126383;0.0359925111135;0.212957509359;0.0465867360433;0.0326586450849;0.315141026179;0.187087170283;0.311008612315;0.0376001993815;0.0125767673765;0.356239191691;0.341929419835;0.113239018122;0.0286585489909;0.122475385666;0.117496585846;0.251508522034;0.171142069499;0.150255854925;0.0213336467743;0.177577018738;NA;0.179359722137;0.121263599396;0.115591096878;0.25310494105;0.118182945251;0.328950945536;0.122939046224;0.138816245397
"X129.13.214.130";0.026546049118;NA;0.00202528635661;0.184163792928;NA;0.173382345835;NA;0.0125790536404;0;0.0629953225454;0.112494452794;0.0395249207815;NA;0.0220492045085;0.0187016963959;0.0510943412781;0.272540934881;NA;0.120710833867;0.0046115398407;0.172456375758;NA;0.049103131661;0.264629538854;0.127981138229;0.109144830704;NA;0.113812351227;0.107330242793;0.284080028534;0.0293635129929;NA;0.0441043694814;0.183118327459;0.106591447194;0.131751330694;0.144380744298;0.0123814900716;0.0229393641154;0.128072659175;0.146885855993;0.0228049755096;0.164087533951;0.0252655188243;0.207691001892;NA;0.00857637822628;0.00759256680806;0.0175596872965;0.0248674869537;0.120426829656;0;0.257551670074;0.0323230584462;0.18087220192;0.339766232173;0.100552431742;0.104313007991;0.00386649767558;0.00827043851217;0.0539751211802;0.0515707969666;0.168723694483;0.0203777472178;0.189324808121;0.290902169545;NA;0.168489424388;0.272123320897;0.174691486359;0.292053047816;0.133157889048;NA;0.133234437307;0.0273463408152;0.315430307388;0.119686301549;0.228892834981;0.00114118258158;0.193912982941;0.0206245263418;0.00830742518107;0.295912535985;0.168348201116;0.292146237691;0.00759908358256;0.0240087668101;0.285527594884;0.343615118663;0.102605199814;0.00381498336792;0.108357079824;0.107336473465;0.223762194316;0.152284399668;0.131438064575;0.00741591453552;0.162565565109;NA;0.146089331309;0.107350603739;0.100580247243;0.264931678772;0.092645963033;0.325321801503;0.0974720160166;0.121132278442
"X193.196.39.10";0.032398223877;0.00233597755432;NA;0.185054985682;NA;0.17350730896;NA;0.01361784935;0;0.0639404296875;0.113471460342;0.0408584276835;NA;0.0231790701548;0.0198030789693;0.0520433584849;0.273325570424;NA;0.121798149745;0.00550470352173;0.176325893402;NA;0.0471339702606;0.265338977178;0.128795464834;0.108868646622;NA;0.114705181122;0.108442481359;0.28505876859;0.0229852199554;NA;0.0354214986165;0.184322611491;0.107553641001;0.132658688227;0.145274591446;0.0135459105174;0.0237236976624;0.129389206568;0.147702757517;0.0238732814789;0.164948924383;0.0260298728943;0.210494263967;NA;0.00988643964132;0.00841857592265;0.0183882713318;0.0259258429209;0.103357203801;0;0.258523082733;0.0333076953888;0.181795549393;0.330185111364;0.101354598999;0.105063549678;0.00488862991333;0.00908258756002;0.0623448848724;0.0527216116587;0.169651285807;0.0211793263753;0.182966995239;0.292501131694;NA;0.169244337082;0.272964509328;0.175666681925;0.293245538076;0.134092473984;NA;0.133875068029;0.0283697764079;0.367278003693;0.120545816422;0.229913695653;0.00240661303202;0.185664923986;0.0211922168732;0.00906246503194;0.29677511851;0.169269657135;0.293305317561;0.00852308273315;0.0249199867249;0.286325422923;0.328982146581;0.103551912308;0.00452768007914;0.109198776881;0.108276780446;0.224412345886;0.152946742376;0.1323366642;0.00863817532857;0.163741461436;NA;0.147136068344;0.108308903376;0.101593907674;0.265944480896;0.0952413241069;0.326313289007;0.103865893682;0.121738020579
"X208.94.63.194";0.199035485586;0.184190893173;0.185034163793;NA;NA;0.0183959166209;NA;0.189126729965;0;0.239067236582;0.0775559902191;0.21982811292;0;0.19127313296;0.195313978195;0.227932262421;0.206075604757;NA;0.0752375125885;0.183351373672;0.0149729410807;NA;0.296570420265;0.262641293662;0.0764631748199;0.117473729451;NA;0.0714481830597;0.0964851220449;0.129775253932;0.189987834295;NA;0.206288830439;0.00975578625997;0.0884467283885;0.0654445330302;0.0485733350118;0.188904205958;0.198892895381;0.0739010651906;0.045903189977;0.199220959345;0.0505049228668;0.197458585103;0.235428508123;NA;0.192650794983;0.184145228068;0.199647458394;0.20113770167;0.0857050736745;0;0.255727211634;0.190785503387;0.0072189172109;0.17208682696;0.09161957105;0.0935822645823;0.186266342799;0.189580583572;0.230678876241;0.215478817622;0.0253720919291;0.196809450785;0.0419602235158;0.268324772517;NA;0.0250783125559;0.130696598689;0.0173698584239;0.137743886312;0.0620454629262;NA;0.0521272659302;0.204542303085;0.162163368861;0.0742875099182;0.252643680573;0.184285545349;0.039217265447;0.196910174688;0.189516925812;0.14137489001;0.025089820226;0.137891483307;0.184023666382;0.196252552668;0.21908027331;0.15154355367;0.0918859690428;0.186231819789;0.0824448426565;0.0866146723429;0.252758693695;0.0382975419362;0.0649480978648;0.193843650818;0.0190144062042;NA;0.0658998012543;0.0866235256195;0.0917769591014;0.263181396893;0.0941487789154;0.245730749766;0.0908074696859;0.0710264046987
"X143.225.229.238";0;0;0;0;NA;0;NA;0;0;0;0;0;NA;0;0;0;0;NA;0;0;0;NA;1.51237669587;0;0;0;NA;0;0;0;0;NA;0;0;0;0;0;0;0;0;0;0;0;0;0;NA;0;0;0.533857679367;0;0;0;0;0;0;NA;0;NA;0;0;0;0;0;0;0;0;NA;0;0;0;0;0;NA;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;NA;0.96705810229;0;0;0;0;0;0;0
"X198.175.112.107";0.179159180323;0.173395411174;0.172877327601;0.0183920065562;NA;NA;NA;0.173489109675;0;0.215890884399;0.0856364091237;0.183935038249;0.181047360102;0.17234231631;0.175577179591;0.204536803563;0.205638933182;NA;0.0631148815155;0.169720729192;0.0251171906789;NA;0.223431984584;0.2049437205;0.0910478432973;0.0929978052775;NA;0.0765730857849;0.085516055425;0.128190279007;0.195201056344;NA;0.221178849538;0.0151051362356;0.081041320165;0.0690109888713;0.0727873802185;0.173325268428;0.189918327332;0.0713547706604;0.0558855056763;0.182376178106;0.0698929786682;0.157932138443;0.477537059784;NA;0.17597840627;0.172470903397;0.157104317347;0.17648413976;0.0809730052948;0;0.19510974884;0.185664113363;0.0144689718882;0.181410980225;0.082976881663;0.0821087996165;0.182399813334;0.17831363678;0.211063543955;0.204141028722;0.028456958135;0.171870470047;0.0544695218404;0.218677139282;NA;0.0306966145833;0.140188582738;0.0214497725169;0.153586037954;0.0593496640523;NA;0.0601857662201;0.187784719467;0.141269461314;0.0622133731842;0.490898243586;0.173826901118;0.0246913274129;0.173858213425;0.188037379583;0.154967562358;0.0302267710368;0.129584296544;0.169017155965;0.154965670904;0.218586460749;0.211420710882;0.0891427993774;0.177143653234;0.0830661296844;0.0869812170664;0.502236906687;0.0293758074443;0.0657220045726;0.170723517736;0.010821167628;NA;0.08505970637;0.078201897939;0.082491795222;0.202283493678;0.0843077023824;0.250322008133;0.0807523568471;0.0583443641663
"X122.1.115.91";0.325798002879;0.285874350866;0.279351091385;0.127043263117;NA;0.149144887924;NA;0.319437678655;0;0.351915709178;0.220817772547;0.347758944829;NA;0.293953545888;0.323683627446;0.317170079549;0.317291053136;NA;0.185770384471;0.303790140152;0.123143005371;NA;0.40535029498;0.3227968057;0.191603779793;0.234643983841;NA;0.189400164286;0.187766520182;0.0081014474233;0.301636187236;NA;0.322188107173;0.122889916102;0.202273082733;0.179916445414;0.176617717743;0.311546198527;0.307326682409;0.174072726568;0.157061894735;0.310509379705;0.147024997075;0.297714233398;0.372578970591;NA;0.290260585149;0.333712132772;0.304374933243;0.310367282232;0.198762114843;0.35313073794;0.294312127431;0.327515602112;0.12225356102;0.0598138332367;0.206081056595;0.219210751851;0.332158104579;0.300512949626;0.300498358409;0.319760306676;0.139259179433;0.327799685796;0.155443382263;0.352609411875;NA;0.135244766871;0.00858424504598;0.127717351913;0.0159134070079;0.160236342748;NA;0.162997309367;0.3046819369;0.172288799286;0.188673893611;0.390963681539;0.273654413223;0.129637797674;0.317402458191;0.309344402949;0.0195650736491;0.1260866642;0.0160306294759;0.314215262731;0.279912773768;0.31878991127;0.148003784815;0.222167873383;0.309045712153;0.220683145523;0.208476861318;0.386571502686;0.142609786987;0.191584396362;0.301863924662;0.140274508794;NA;0.177533912659;0.189158630371;0.206138579051;0.319736703237;0.191381772359;0.124523687363;0.206608343124;0.182102123896
"X192.26.179.69";0.0349866867065;0.0130317529043;0.0142240206401;0.189363416036;NA;0.172186978658;NA;NA;0;0.0680356820424;0.116923459371;0.0456943353017;0;0.0273946921031;0.00787115097046;0.0564769903819;0.27715549469;NA;0.125913556417;0.0270220597585;0.177706511815;NA;0.0879048960549;0.270129934947;0.126615381241;0.146039676666;NA;0.133002392451;0.112409257889;0.289071321487;0.031319920222;NA;0.0401994387309;0.188470427195;0.112220478058;0.137410259247;0.151745986938;0.0207769393921;0.0271020571391;0.136281792323;0.151675589879;0.0283019860586;0.168847036362;0.0301570256551;NA;NA;0.0217281500498;0.0123520533244;0.0219831148783;0.0292669932048;0.11080810229;0;0.262699460983;0.037450281779;0.186288674672;0.336883497238;0.106940968831;0.109317731857;0.0143727461497;0.0177887598674;0.0593401908875;0.0563513120015;0.174165487289;0.0154405275981;0.193730115891;0.296365658442;NA;0.17330048879;0.277397076289;0.17953488032;0.297578001022;0.14221997261;NA;0.141917085648;0.0324308713277;0.320715999603;0.124526373545;0.228706773122;0.0157263914744;0.18932946523;0.0155003229777;0.0181607087453;0.300694227219;0.173220984141;0.297068436941;0.0123166720072;0.0293459415436;0.299677403768;0.336231597265;0.108029731115;0.0153171698252;0.113884401321;0.112690289815;0.228740485509;0.157836182912;0.136372852325;0.0227321624756;0.168490759532;NA;0.150662358602;0.112478113174;0.106812302272;0.270028479894;0.103524589539;0.344554869334;0.110306866964;0.126128880183
"X164.73.47.244";0.336474720637;0.346536302567;0.347354157766;0.344883067267;NA;0.293193149567;NA;0.354140440623;NA;0.402805916468;0.254410187403;0.477827660243;NA;0.360425027212;0.357501570384;0.329874595006;0.406066672007;NA;0.255010573069;0.291292778651;0.321434100469;NA;0.342371956507;0.100847911835;0.255538129807;0.241211064657;NA;0.24293572108;0.246909745534;0.432324059804;0.44031463305;NA;0.343506940206;0.345494333903;0.241947952906;0.265943654378;0.255104621251;0.352276357015;0.361061414083;0.244414790471;0.266837946574;0.361262083054;0.29893005689;0.334265883764;0.620724932353;NA;0.339337746302;0.346291160583;0.291314013799;0.347802527746;0.196691687902;0;0.0945418675741;0.313089418411;0.341470813751;NA;0.239987309774;0.241555738449;0.348382631938;0.351894903183;0.333535814285;0.377464866638;0.360716835658;0.359329239527;0.369358253479;0.0206349531809;NA;0.359689744314;0.436029402415;0.336041498184;0.440614112218;0.270864407221;NA;0.270866203308;0.351001723607;0.485241508484;0.25311849912;0.557444604238;0.346274248759;0.342394224803;0.358959182103;0.351865975062;0.444014978409;0.374810663859;0.441093079249;0.34614144961;0.332310851415;0.418764877319;0.382806873322;0.24000638326;0.348307069143;0.252314535777;0.24476313591;0.562493006388;0.321244970957;0.264857276281;0.340148639679;0.242606035868;NA;0.233604510625;0.244989569982;0.23949174881;0.101973501841;0.22701775233;0.558905506134;0.239763387044;0.255926148097
"X150.140.140.93";0.0798775196075;0.0630230267843;0.0638594468435;0.239147869746;NA;0.216001081467;NA;0.0677911281586;0;NA;0.167621183395;0.0950685183207;NA;0.0768758138021;0.0740485350291;0.104139757156;0.327575413386;NA;0.17582025528;0.0515398820241;0.227551062902;NA;0.13458946773;0.317279672623;0.176830514272;0.195535182953;NA;0.183517535528;0.161945501963;0.339159822464;0.0847499052684;NA;0.117701101303;0.238234472275;0.161874580383;0.186706892649;0.205749750137;0.0682720343272;0.0744563738505;0.183992274602;0.20160279274;0.0746440887451;0.219141769409;0.0781952699025;0.341193993886;NA;0.069117752711;0.0628780206045;0.0700480779012;0.0629560788472;0.148046064377;0;0.310110966365;0.073305718104;0.235994911194;0.41036380132;0.15723268191;0.15923333168;0.0649854977926;0.0683241208394;0.106792894999;0.106601540248;0.223705991109;0.0756092866262;0.244302733739;0.345358880361;NA;0.223241599401;0.366782649358;0.229887326558;0.347177362442;0.192527071635;NA;0.19248269399;0.0754646778107;0.370352538427;0.174768654505;0.278613313039;0.0626992384593;0.265255419413;0.0756054083506;0.0684719403585;0.350677569707;0.223482735952;0.347136036555;0.0629394849141;0.0767486731211;0.340443849564;0.348603073756;0.157722345988;0.0651382764181;0.163365141551;0.162226470311;0.283977270126;0.20688135922;0.186487547557;0.0704181353251;0.211390813192;NA;0.20102408727;0.162284930547;0.157201862335;0.317629384995;0.154319175084;0.379113753637;0.157263422012;0.176042588552
